Estación:       CD. CUAUHTEMOC,  CHIH
Operada por:    SMN EMAS
Longitud:       106°50'21"  Latitud: 28°23'48"  Altitud: 2100

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
26/01/2018 17:00         7       352      5.14     11.20      12.6        16     797.1       0.0     633.0
26/01/2018 18:00         2        57      5.62     14.70      15.2        12     796.9       0.0     750.0
26/01/2018 19:00       330       331      9.16     20.60      17.0        10     796.1       0.0     804.3
26/01/2018 20:00       308       322     14.29     29.60      19.0         7     795.2       0.0     776.3
26/01/2018 21:00       290       350     14.55     30.90      19.8         6     794.7       0.0     662.3
26/01/2018 22:00       302       327     12.56     25.50      20.3         7     794.4       0.0     481.8
26/01/2018 23:00       307       317     12.68     25.40      19.6         7     794.4       0.0     267.0
27/01/2018 00:00       308       359     10.72     20.00      16.7         9     794.7       0.0      53.0
27/01/2018 01:00       307       320      5.82     16.10      13.1        12     795.3       0.0       0.0
27/01/2018 02:00       270       283      4.45      9.60      12.0        12     795.7       0.0       0.0
27/01/2018 03:00       279       273     10.18     14.90      10.0        14     796.0       0.0       0.0
27/01/2018 04:00       269       274     10.24     15.10       9.8        14     796.1       0.0       0.0
27/01/2018 05:00       291       318      9.64     14.40       8.6        17     796.3       0.0       0.0
27/01/2018 06:00       286       302      8.82     18.50       7.4        20     796.5       0.0       0.0
27/01/2018 07:00       298       325      8.33     16.50       6.5        21     796.4       0.0       0.0
27/01/2018 08:00       282       288     10.74     17.90       4.4        22     796.4       0.0       0.0
27/01/2018 09:00       289       299      6.86     15.90       5.3        22     796.3       0.0       0.0
27/01/2018 10:00       281       307      6.37     14.80       4.5        23     796.5       0.0       0.0
27/01/2018 11:00       277       307      6.14     11.90       4.0        24     796.2       0.0       0.0
27/01/2018 12:00       273       289      7.71     11.40       4.2        26     796.4       0.0       0.0
27/01/2018 13:00       279       305      7.48     13.30       2.5        28     797.0       0.0       0.0
27/01/2018 14:00       283       273      7.22     12.80       3.2        26     797.6       0.0      59.8
27/01/2018 15:00       297       279      5.22     11.40       7.2        23     798.2       0.0     262.2
27/01/2018 16:00         1       356      4.25      9.10      10.2        20     798.9       0.0     475.3
27/01/2018 17:00       114       127     19.63     31.80      13.0        19     799.1       0.0     647.0
27/01/2018 18:00       115       134     19.57     33.80      14.1        19     798.6       0.0     754.5
27/01/2018 19:00       118       122     16.00     34.00      15.4        18     797.5       0.0     799.3
27/01/2018 20:00       122       127     12.73     29.00      16.5        18     796.9       0.0     763.3
27/01/2018 21:00       109       124     15.65     28.60      16.8        19     796.4       0.0     649.2
27/01/2018 22:00       100       122     17.19     30.80      16.7        20     796.3       0.0     479.5
27/01/2018 23:00       106       126     17.86     30.00      16.0        21     796.4       0.0     267.0
28/01/2018 00:00       123       128     14.16     27.10      13.0        25     796.6       0.0      52.7
28/01/2018 01:00       128       138     16.21     27.20      10.3        28     796.9       0.0       0.0
28/01/2018 02:00       120       130     11.53     20.70       8.5        28     797.4       0.0       0.0
28/01/2018 03:00       297       135      1.17     12.30       6.9        30     797.7       0.0       0.0
28/01/2018 04:00       276       330      3.64      8.00       7.3        30     798.1       0.0       0.0
28/01/2018 05:00       309       316      1.55      5.90       7.4        29     798.5       0.0       0.0
28/01/2018 06:00       102       131      1.47      3.10       6.6        29     798.7       0.0       0.0
28/01/2018 07:00       297       323      3.91      8.60       4.3        36     798.6       0.0       0.0
28/01/2018 08:00       275       273      6.36     10.10       3.4        37     798.6       0.0       0.0
28/01/2018 09:00       270       284      6.88     10.10       3.6        34     798.6       0.0       0.0
28/01/2018 10:00       271       295      6.13     10.80       3.1        35     798.4       0.0       0.0
28/01/2018 11:00       275       275      2.89      7.60       3.1        34     798.1       0.0       0.0
28/01/2018 12:00       286       268      3.27      7.40       2.5        36     798.2       0.0       0.0
28/01/2018 13:00       288       300      6.08      9.80       1.2        40     798.8       0.0       0.0
28/01/2018 14:00       279       298      5.91      8.80       2.3        40     799.4       0.0      59.7
28/01/2018 15:00       320       332      4.11      7.10       5.7        34     800.1       0.0     260.2
28/01/2018 16:00       351       358      5.32     10.80       7.7        30     800.7       0.0     474.0
28/01/2018 17:00        95        96      9.58     21.40      10.8        29     800.8       0.0     641.8
28/01/2018 18:00       104       124     14.62     33.10      12.7        31     800.4       0.0     750.0
28/01/2018 19:00       109       137     13.54     28.20      14.1        32     799.6       0.0     793.5
28/01/2018 20:00       110       109     16.29     32.00      15.1        32     798.8       0.0     759.8
28/01/2018 21:00       107       119     19.72     31.30      15.5        32     798.4       0.0     648.5
28/01/2018 22:00       114       114     18.80     33.50      15.7        31     798.4       0.0     478.8
28/01/2018 23:00       107       100     18.96     30.50      15.1        32     798.6       0.0     269.2
29/01/2018 00:00       116       121     15.47     31.30      12.6        38     798.7       0.0      56.0
29/01/2018 01:00       128       132     15.17     24.40       9.6        44     799.0       0.0       0.0
29/01/2018 02:00       125       132     20.05     29.60       9.1        41     799.6       0.0       0.0
29/01/2018 03:00       126       133     15.86     28.30       7.9        43     799.9       0.0       0.0
29/01/2018 04:00       125       136     11.74     19.70       6.5        46     800.4       0.0       0.0
29/01/2018 05:00       132       127     10.81     17.00       6.1        47     800.7       0.0       0.0
29/01/2018 06:00       148       139      4.46      9.20       6.1        48     800.8       0.0       0.0
29/01/2018 07:00       330       136      0.49      3.90       6.9        45     800.8       0.0       0.0
29/01/2018 08:00       117       139      3.01      6.90       6.5        45     800.9       0.0       0.0
29/01/2018 09:00        91       156      1.97      4.30       5.8        47     801.0       0.0       0.0
29/01/2018 10:00       141       157      4.17      7.70       5.3        48     801.1       0.0       0.0
29/01/2018 11:00       149       146      6.03      8.20       4.9        48     801.2       0.0       0.0
29/01/2018 12:00       138       144      6.61     10.10       5.0        47     801.6       0.0       0.0
29/01/2018 13:00       141       145      9.89     13.10       4.6        48     802.2       0.0       0.0
29/01/2018 14:00       123       144      6.21     15.30       5.4        48     802.7       0.0      58.2
29/01/2018 15:00        57       123      3.44     19.10       8.5        41     803.6       0.0     253.3
29/01/2018 16:00       110       111     21.61     33.20       9.1        48     804.3       0.0     476.3
29/01/2018 17:00       115       149     21.74     34.30      10.5        50     804.4       0.0     643.2
29/01/2018 18:00       121       159     19.58     35.10      11.7        48     804.1       0.0     748.5
29/01/2018 19:00       117       141     19.20     36.80      12.7        44     803.2       0.0     793.2
29/01/2018 20:00       111       153     20.11     35.50      13.6        39     802.3       0.0     762.2
29/01/2018 21:00       113       140     22.10     41.20      14.1        37     801.9       0.0     650.0
29/01/2018 22:00       104       108     21.83     39.10      14.0        35     801.7       0.0     481.8
29/01/2018 23:00       110       114     21.82     36.20      13.4        38     801.5       0.0     271.2
30/01/2018 00:00       115       126     17.32     33.70      11.2        43     801.6       0.0      57.8
30/01/2018 01:00       124       114     11.82     23.90       8.4        51     801.8       0.0       0.0
30/01/2018 02:00       136       144      8.97     16.00       6.8        55     802.1       0.0       0.0
30/01/2018 03:00       134       165      8.54     13.50       6.4        59     802.1       0.0       0.0
30/01/2018 04:00       142       140     12.09     20.60       6.5        61     802.0       0.0       0.0
30/01/2018 05:00       143       155     12.06     22.50       6.2        62     802.0       0.0       0.0
30/01/2018 06:00       132       156      7.47     20.40       5.8        63     801.6       0.0       0.0
30/01/2018 07:00       129       139     15.84     29.00       5.0        66     801.1       0.0       0.0
30/01/2018 08:00       118       134      6.35     28.20       4.6        67     800.7       0.0       0.0
30/01/2018 09:00       315       339      1.51      7.00       2.7        74     800.3       0.0       0.0
30/01/2018 10:00       151       114      0.84      8.10       2.4        76     800.2       0.0       0.0
30/01/2018 11:00       268       346      0.94      8.50       2.5        78     800.2       0.0       0.0
30/01/2018 12:00       121       138      3.64     12.80       2.0        80     800.4       0.0       0.0
30/01/2018 13:00       240       302      1.41      3.70       1.4        83     800.8       0.0       0.0
30/01/2018 14:00       129       233      0.39      3.70       3.2        77     801.1       0.0      53.8
30/01/2018 15:00        60       119      3.28     13.10       6.9        64     801.6       0.0     257.3
30/01/2018 16:00       107       136     11.33     28.40       8.2        60     802.0       0.0     483.3
30/01/2018 17:00       130       131     17.80     29.30      10.3        52     801.7       0.0     660.3
30/01/2018 18:00       135       138     19.10     34.40      11.2        46     801.0       0.0     753.0
30/01/2018 19:00       118       146     17.29     30.80      12.1        45     799.8       0.0     776.5
30/01/2018 20:00        98       108     16.16     29.00      12.1        46     798.4       0.0     597.8
30/01/2018 21:00       105       112     16.43     28.60      13.5        44     797.6       0.0     655.8
30/01/2018 22:00       107       125     17.95     32.30      14.2        43     797.1       0.0     477.7
30/01/2018 23:00       112       127     18.83     29.90      13.5        44     796.9       0.0     254.7
31/01/2018 00:00       122       133     16.20     34.00      11.4        48     797.2       0.0      52.0
31/01/2018 01:00       128       137     12.93     18.60       8.9        55     797.2       0.0       0.0
31/01/2018 02:00       129       134     16.12     26.40       9.0        54     797.2       0.0       0.0
31/01/2018 03:00       157       136      6.34     17.70       8.5        55     797.4       0.0       0.0
31/01/2018 04:00       130       136      8.57     16.90       7.7        57     797.4       0.0       0.0
31/01/2018 05:00       139       142      8.12     19.00       7.4        58     797.7       0.0       0.0
31/01/2018 06:00       163       158      4.31     10.30       7.4        58     797.4       0.0       0.0
31/01/2018 07:00       285       187      1.18      8.50       5.9        63     797.1       0.0       0.0
31/01/2018 08:00       276       315      1.70      3.60       6.5        62     796.7       0.0       0.0
31/01/2018 09:00       246       251      5.34      8.80       6.7        61     796.3       0.0       0.0
31/01/2018 10:00       245       258      8.81     12.60       5.9        63     795.7       0.0       0.0
31/01/2018 11:00       272       301      6.22     12.20       4.9        66     795.4       0.0       0.0
31/01/2018 12:00       240       234      5.96     13.30       4.6        67     795.2       0.0       0.0
31/01/2018 13:00       266       280      7.54     16.50       4.5        68     795.5       0.0       0.0
31/01/2018 14:00       276       285      2.40     11.10       6.0        64     795.9       0.0      55.3
31/01/2018 15:00       325       338      5.69     12.30       8.4        57     796.3       0.0     242.7
31/01/2018 16:00       336       323      4.00     10.60      11.8        49     796.8       0.0     446.2
31/01/2018 17:00       252       293      8.81     17.60      15.8        40     796.9       0.0     596.8
31/01/2018 18:00       316       336      8.39     16.90      18.1        34     796.3       0.0     715.3
31/01/2018 19:00       297       303     12.67     24.10      19.5        28     795.4       0.0     764.3
31/01/2018 20:00       294       323     12.11     24.50      20.6        24     794.3       0.0     741.3
31/01/2018 21:00       312       340     11.30     29.00      20.9        24     793.8       0.0     639.2
31/01/2018 22:00       278       285     10.29     24.30      21.8        22     793.6       0.0     465.7
31/01/2018 23:00        90       105     12.64     23.10      20.7        25     793.8       0.0     252.2
01/02/2018 00:00       128        95      6.94     18.50      17.8        28     794.0       0.0      27.5
01/02/2018 01:00       133       138     14.94     26.40      15.5        33     794.2       0.0       0.0
01/02/2018 02:00       129       127     15.39     26.70      13.7        38     794.8       0.0       0.0
