72528 BUF Buffalo Int Observations at 00Z 22 Dec 2017
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
  997.0    215   -1.5   -5.9     72   2.48     45      5  271.9  278.8  272.3
  993.0    247   -2.1   -6.6     71   2.36     49      5  271.6  278.2  272.0
  948.9    610   -4.9   -9.5     70   1.97     90     11  272.3  277.9  272.6
  946.0    635   -5.1   -9.7     70   1.94     95     11  272.3  277.9  272.7
  931.0    762   -5.5   -9.6     73   1.99    120      9  273.2  278.9  273.5
  925.0    813   -5.7  -10.1     71   1.93    130      8  273.5  279.0  273.8
  913.1    914   -5.7  -10.9     67   1.83    165      8  274.5  279.8  274.8
  901.0   1019   -5.7  -11.7     63   1.74    201      6  275.5  280.6  275.8
  881.0   1194   -7.1  -15.1     53   1.35    261      2  275.9  279.8  276.1
  878.2   1219   -7.2  -14.4     56   1.43    270      2  276.0  280.2  276.2
  865.0   1337   -7.7  -11.2     76   1.89    286      8  276.7  282.2  277.0
  852.0   1455   -6.5   -9.0     82   2.28    302     14  279.1  285.8  279.5
  850.0   1473   -6.3   -8.7     83   2.34    305     15  279.5  286.3  279.9
  844.5   1524   -6.3   -8.7     83   2.36    305     15  280.1  286.9  280.4
  835.0   1612   -6.3   -8.7     83   2.38    299     16  281.0  287.9  281.4
  812.0   1829   -7.9  -10.5     81   2.12    285     19  281.5  287.8  281.9
  784.0   2102   -9.9  -12.8     79   1.83    272     24  282.2  287.7  282.5
  780.7   2134   -9.5  -12.2     81   1.93    270     25  283.0  288.8  283.3
  772.0   2221   -8.3  -10.5     84   2.24    269     30  285.2  291.8  285.6
  756.0   2384   -7.9   -9.8     86   2.41    266     38  287.3  294.6  287.7
  750.7   2438   -8.2  -10.1     86   2.38    265     41  287.6  294.7  288.0
  726.0   2697   -9.5  -11.3     87   2.23    265     53  288.9  295.7  289.3
  721.8   2743   -8.9  -10.4     89   2.41    265     55  290.1  297.4  290.5
  714.0   2827   -7.7   -8.8     92   2.77    265     54  292.3  300.7  292.8
  700.0   2981   -6.9   -7.8     93   3.05    265     53  294.8  304.1  295.4
  699.0   2992   -7.1   -8.0     93   3.01    265     53  294.7  303.9  295.2
  640.7   3658  -11.3  -12.6     90   2.28    270     52  297.4  304.5  297.8
  591.6   4267  -15.1  -16.8     86   1.74    270     54  299.8  305.4  300.1
  568.5   4572  -17.0  -18.9     85   1.51    270     56  301.0  306.0  301.3
  553.0   4783  -18.3  -20.4     84   1.37    273     59  301.9  306.4  302.1
  546.0   4877  -18.8  -20.9     83   1.33    275     60  302.4  306.7  302.6
  500.0   5530  -22.3  -24.8     80   1.03    280     68  305.8  309.3  306.0
  494.0   5618  -22.5  -25.2     79   1.00    280     69  306.6  310.0  306.8
  462.6   6096  -25.9  -27.8     84   0.84    280     74  308.2  311.1  308.4
  457.0   6184  -26.5  -28.3     85   0.82    280     75  308.5  311.3  308.6
  433.0   6570  -29.5  -34.1     64   0.50    278     79  309.5  311.3  309.6
  416.0   6854  -31.3  -34.6     73   0.49    276     82  310.7  312.5  310.8
  400.0   7130  -33.3  -37.0     69   0.40    275     85  311.6  313.1  311.7
  377.0   7544  -36.5  -41.5     60   0.27    275     94  312.7  313.7  312.8
  372.8   7620  -37.1  -42.0     61   0.26    275     96  312.9  313.9  313.0
  345.0   8153  -41.3  -45.1     67   0.20    279    104  314.2  315.0  314.3
  335.0   8353  -42.7  -51.7     37   0.10    280    107  315.0  315.4  315.0
