72528 BUF Buffalo Int Observations at 00Z 22 Jun 2017
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
  989.0    215   20.6   13.6     64   9.99    240     14  294.7  323.6  296.4
  981.0    285   19.0   11.0     60   8.47    241     14  293.8  318.3  295.2
  944.6    610   16.1   10.7     70   8.59    245     15  294.0  318.9  295.5
  939.0    662   15.6   10.6     72   8.61    246     15  294.0  319.0  295.5
  933.0    716   16.0    9.0     63   7.78    248     14  294.9  317.7  296.3
  925.0    790   15.4    8.4     63   7.53    250     14  295.1  317.1  296.4
  911.5    914   14.3    8.4     67   7.62    260     13  295.2  317.5  296.5
  891.0   1106   12.6    8.3     75   7.77    269     11  295.3  318.1  296.7
  879.1   1219   11.7    7.6     76   7.52    275     10  295.6  317.6  296.9
  850.0   1500    9.6    6.0     78   6.94    280     12  296.2  316.7  297.4
  816.7   1829    7.0    4.2     83   6.39    275     13  296.8  315.8  298.0
  787.0   2135    4.6    2.6     87   5.90    290     15  297.4  315.0  298.5
  762.0   2398    4.2   -1.8     65   4.42    294     14  299.8  313.3  300.6
  758.2   2438    4.4   -3.5     57   3.92    295     14  300.4  312.4  301.1
  754.0   2484    4.6   -5.4     48   3.41    296     14  301.1  311.7  301.7
  730.3   2743    3.2   -9.4     39   2.57    300     17  302.3  310.4  302.8
  718.0   2881    2.4  -11.6     35   2.20    300     21  302.9  310.0  303.3
  700.0   3086    2.4  -15.6     25   1.63    300     27  305.1  310.5  305.4
  689.0   3214    2.4  -17.6     21   1.40    300     28  306.5  311.2  306.8
  651.5   3658   -0.5  -28.1     10   0.58    300     31  308.1  310.2  308.2
  603.4   4267   -4.6  -42.6      3   0.15    290     36  310.3  310.9  310.3
  573.0   4677   -7.3  -52.3      1   0.05    293     41  311.7  311.9  311.7
  558.5   4877   -7.1  -45.3      3   0.12    295     43  314.2  314.7  314.2
  556.0   4911   -7.1  -44.1      3   0.14    295     43  314.6  315.2  314.7
  550.0   4996   -7.7  -20.7     34   1.34    295     44  314.9  319.6  315.1
  534.0   5225   -9.3  -24.3     28   1.01    295     47  315.6  319.2  315.8
  516.1   5486  -11.3  -26.8     27   0.83    295     50  316.4  319.3  316.5
  500.0   5730  -13.1  -29.1     25   0.69    300     50  317.0  319.5  317.1
  475.9   6096  -16.0  -32.7     22   0.52    300     52  317.9  319.8  318.0
  403.5   7315  -25.8  -44.7     15   0.18    300     51  320.6  321.3  320.6
  400.0   7380  -26.3  -45.3     15   0.17    300     53  320.7  321.4  320.8
  395.0   7471  -27.1  -46.1     15   0.16    300     57  320.8  321.5  320.9
  386.9   7620  -27.1  -51.0      8   0.09    300     64  322.7  323.1  322.8
  377.0   7806  -27.1  -57.1      4   0.05    306     74  325.1  325.3  325.1
  370.7   7925  -28.0  -57.0      5   0.05    310     80  325.5  325.7  325.5
  311.8   9144  -37.6  -55.7     13   0.06    305     93  328.7  328.9  328.7
  311.0   9162  -37.7  -55.7     13   0.06    304     94  328.7  329.0  328.7
  302.0   9364  -38.1  -57.1     12   0.06    297    101  330.9  331.2  330.9
  300.0   9410  -37.1  -56.1     12   0.06    295    103  333.0  333.2  333.0
  298.0   9456  -36.7  -57.7     10   0.05    295    105  334.2  334.4  334.2
  290.0   9645  -36.3  -63.3      4   0.03    295    111  337.3  337.5  337.4
  273.1  10058  -39.2  -65.7      4   0.02    295    126  339.0  339.1  339.0
  258.0  10447  -41.9  -67.9      4   0.02    295    129  340.6  340.6  340.6
  250.0  10660  -44.1  -68.1      5   0.02    295    131  340.4  340.4  340.4
  243.0  10850  -45.9  -67.9      7   0.02    293    132  340.4  340.5  340.4
  228.0  11270  -49.0  -68.6      8   0.02    290    133  341.9  342.0  341.9
  227.7  11278  -49.1  -68.6      9   0.02    290    133  341.9  342.0  341.9
  225.0  11357  -49.7  -68.7      9   0.02    291    132  342.2  342.3  342.2
  217.0  11594  -50.5  -70.5      8   0.01    296    128  344.5  344.6  344.5
  200.0  12120  -55.3  -72.3     10   0.01    305    119  345.0  345.1  345.0
  199.0  12152  -55.5  -71.5     12   0.01    305    120  345.2  345.3  345.2
  197.8  12192  -55.6  -71.8     11   0.01    305    122  345.7  345.7  345.7
  189.0  12481  -56.3  -74.3      9   0.01    300    101  349.1  349.1  349.1
  185.0  12618  -55.3  -75.3      7   0.01    296     99  352.8  352.9  352.8
  180.0  12793  -55.5  -79.5      4   0.00    290     96  355.2  355.3  355.2
  179.8  12802  -55.4  -79.7      3   0.00    290     96  355.6  355.6  355.6
  178.0  12865  -54.7  -80.7      3   0.00    291     94  357.7  357.7  357.7
  175.0  12974  -55.1  -82.1      2   0.00    293     90  358.8  358.8  358.8
  171.0  13122  -54.1  -83.1      2   0.00    295     85  362.8  362.8  362.8
  163.4  13411  -55.1  -85.2      1   0.00    300     75  365.8  365.8  365.8
  150.0  13960  -57.1  -89.1      1   0.00    295     85  371.5  371.5  371.5
  148.6  14021  -56.6  -88.6      1   0.00    295     87  373.3  373.3  373.3
  144.0  14219  -55.1  -87.1      1   0.00    295     83  379.3  379.3  379.3
  130.0  14863  -60.7  -89.7      1   0.00    295     71  380.6  380.6  380.6
  122.3  15240  -61.7  -90.7      1   0.00    295     63  385.5  385.5  385.5
  122.0  15257  -61.7  -90.7      1   0.00    295     63  385.7  385.7  385.7
  118.0  15464  -58.9  -88.9      1   0.00    296     60  394.6  394.6  394.6
  112.0  15790  -60.3  -90.3      1   0.00    297     55  397.9  397.9  397.9
  104.0  16254  -58.3  -89.3      1   0.00    299     49  410.2  410.2  410.2
  100.0  16500  -58.9  -89.9      1   0.00    300     45  413.6  413.7  413.6
   81.5  17784  -57.3  -89.3      1   0.00    317     23  441.8  441.8  441.8
   79.0  17983  -57.5  -89.3      1   0.00    320     20  445.5  445.5  445.5
   75.2  18288  -57.7  -89.2      1   0.00    285     19  451.2  451.2  451.2
   71.7  18593  -58.0  -89.1      1   0.00    270     22  456.9  456.9  456.9
   70.0  18740  -58.1  -89.1      1   0.00    290     19  459.7  459.8  459.7
   67.2  18996  -59.1  -90.1      1   0.00    300     18  463.0  463.0  463.0
   64.3  19274  -57.1  -89.1      1   0.00    311     16  473.2  473.2  473.2
   62.0  19507  -57.2  -89.2      1   0.00    320     15  478.0  478.0  478.0
   59.3  19786  -57.3  -89.3      1   0.00    309     12  483.9  483.9  483.9
   57.5  19982  -55.7  -87.7      1   0.00    302      9  491.8  491.8  491.8
   53.6  20422  -56.1  -88.1      1   0.00    285      4  500.7  500.7  500.7
   50.0  20870  -56.5  -88.5      1   0.00    265     12  509.9  509.9  509.9
   47.4  21208  -57.3  -89.3      1   0.00    327      8  515.8  515.9  515.8
   46.5  21336  -57.1  -89.1      1   0.00    350      6  519.2  519.3  519.2
   38.4  22555  -55.4  -87.4      1   0.01    350     12  552.9  553.0  552.9
   37.2  22748  -55.1  -87.1      1   0.01      7     12  558.4  558.5  558.4
   34.8  23165  -55.5  -87.5      1   0.01     45     13  568.0  568.0  568.0
   33.2  23470  -55.8  -87.8      1   0.01     25     15  575.1  575.1  575.1
   32.4  23628  -55.9  -87.9      1   0.01     33     14  578.8  578.8  578.8
   30.2  24079  -54.1  -87.0      1   0.01     55     13  595.5  595.6  595.6
   30.0  24120  -53.9  -86.9      1   0.01     65     12  597.1  597.2  597.1
   28.8  24384  -53.2  -86.2      1   0.01     55     13  606.1  606.2  606.1
   27.7  24635  -52.5  -85.5      1   0.01     39     14  614.8  614.9  614.8
   27.5  24689  -52.5  -85.5      1   0.01     35     14  616.3  616.4  616.3
   24.8  25351  -52.3  -85.3      1   0.01     54     21  635.1  635.2  635.1
   22.8  25908  -50.5  -84.0      1   0.02     70     26  656.0  656.2  656.0
   21.7  26213  -49.5  -83.3      1   0.02    105     17  667.8  668.0  667.8
   21.1  26406  -48.9  -82.9      1   0.02     86     14  675.3  675.5  675.3
   20.8  26518  -48.1  -82.4      1   0.02     75     12  681.1  681.3  681.1
   20.0  26760  -46.3  -81.3      1   0.03     75     14  693.7  694.0  693.7
   18.1  27432  -45.6  -80.9      1   0.03     85     18  716.2  716.5  716.2
   14.6  28857  -44.1  -80.1      1   0.05     85     18  766.3  766.8  766.3
   13.3  29486  -40.7  -77.7      1   0.07     85     17  798.7  799.5  798.7
   11.7  30357  -40.9  -77.9      1   0.08     85     17  827.8  828.7  827.8
   11.5  30480  -40.3  -77.5      1   0.09     85     17  834.3  835.4  834.3
   10.8  30903  -38.1  -76.1      1   0.11     83     18  857.1  858.5  857.2
   10.0  31430  -40.1  -77.1      1   0.11     80     19  868.7  870.1  868.8
    9.2  32004  -37.1  -74.9      1   0.16     45     14  901.2  903.3  901.3
    9.0  32155  -36.3  -74.3      1   0.18                909.9  912.2  910.0
    8.8  32311  -33.9  -72.9      1   0.23                925.0  928.0  925.1
